city,count_ID,count_normal,lat,lot
KING COUNTY,32.0,0.008988764044943821,47.429214400000006,-122.14524080965376
FEDERAL WAY,76.0,0.021348314606741574,47.307100399999996,-122.31438700964137
SEATAC,355.0,0.0997191011235955,47.4449086,-122.283084
KENT,260.0,0.07303370786516854,47.3915711,-122.2944463
BELLEVUE,22.0,0.006179775280898876,47.6194445,-122.17557254520682
NORTH BEND,38.0,0.010674157303370787,47.4959464,-121.7851542
BLACK DIAMOND,2.0,0.0005617977528089888,47.3093143,-122.0055422830377
SKYKOMISH,7.0,0.001966292134831461,47.7144966,-121.3453562
MAPLE VALLEY,286.0,0.08033707865168539,47.391785,-122.04711245831146
DES MOINES,2.0,0.0005617977528089888,47.398829,-122.3099093
RIVERBEND,2.0,0.0005617977528089888,47.4672222,-121.7498007
TUKWILA,7.0,0.001966292134831461,47.4627356,-122.2559156
BOTHELL,4.0,0.0011235955056179776,47.7598697,-122.2068288
SEATTLE,3560.0,1.0,47.6058925,-122.333827
SHADOW LAKE,2.0,0.0005617977528089888,46.145445,-121.41412603419761
AUBURN,242.0,0.06797752808988763,46.2029841,-119.11816
LAKELAND NORTH,5.0,0.0014044943820224719,47.3361901,-122.28215710862662
PUYALLUP,2.0,0.0005617977528089888,47.1924251,-122.29253920024784
SNOQUALMIE,39.0,0.010955056179775281,47.5289527,-121.8270932
EAST RENTON HIGHLANDS,2.0,0.0005617977528089888,47.4822997,-122.0896397
RAVENSDALE,1.0,0.0002808988764044944,47.3523376,-121.983716
WOODINVILLE,276.0,0.07752808988764046,47.7545827,-122.1588902
EVERETT,3.0,0.0008426966292134832,47.9673056,-122.201399
ISSAQUAH,164.0,0.046067415730337076,47.5348778,-122.0432974
ENUMCLAW,52.0,0.014606741573033709,47.2048331,-121.988874
MOUNTLAKE TERRACE,1.0,0.0002808988764044944,47.7909667,-122.3066395
BOULEVARD PARK,3.0,0.0008426966292134832,47.5147079,-122.31620405040269
RAVENSDALE,19.0,0.0053370786516853935,47.3523376,-121.983716
CARNATION,27.0,0.007584269662921348,47.6469818,-121.913413
NEWCASTLE,26.0,0.007303370786516854,47.5395736,-122.1563331
EDMONDS,1.0,0.0002808988764044944,47.832379200000005,-122.33826782495763
MUCKLESHOOT,1.0,0.0002808988764044944,47.2766758,-122.149562
CENTRALIA,1.0,0.0002808988764044944,46.738828,-123.002975
LAKE FOREST PARK,1.0,0.0002808988764044944,47.7567679,-122.2809623
LAKE MORTON-BERRYDALE,1.0,0.0002808988764044944,47.3300505,-122.10148075099991
VASHON,84.0,0.02359550561797753,47.420875949999996,-122.47370525466893
GOLD BAR,1.0,0.0002808988764044944,47.8540432,-121.6932029
DUVALL,15.0,0.004213483146067416,47.7423219,-121.9856782
BURIEN,637.0,0.1789325842696629,47.469918,-122.3485274
WHITE CENTER,31.0,0.008707865168539325,47.508415,-122.348255035
MERCER ISLAND,1.0,0.0002808988764044944,47.5602073,-122.22014226861951
REDMOND,126.0,0.03539325842696629,47.66980345,-122.09481969562108
TACOMA,4.0,0.0011235955056179776,47.24632055,-122.43608749941275
FALL CITY,37.0,0.010393258426966293,47.56586975,-121.89991929564927
UNINCORPORATED KING COUNTY,65.0,0.018258426966292134,47.47,-121.84
SHORELINE,552.0,0.1550561797752809,47.7564667,-122.3437497
SNOQUALMIE PASS,1.0,0.0002808988764044944,47.4223618,-121.4128238
BEAUX ARTS VILLAGE,1.0,0.0002808988764044944,47.5854704,-122.199768
COVINGTON,89.0,0.025,47.360090799999995,-122.11042568677712
KENMORE,116.0,0.03258426966292135,47.7573202,-122.2440148
LYNNWOOD,1.0,0.0002808988764044944,47.832379200000005,-122.33826782495763
MIRRORMONT,2.0,0.0005617977528089888,47.466841,-121.99448090194682
UNION HILL-NOVELTY HILL,6.0,0.0016853932584269663,47.681563249999996,-122.03505389437154
MAPLE HEIGHTS-LAKE DESIRE,1.0,0.0002808988764044944,47.442980000000006,-122.09579502411194
MARYSVILLE,1.0,0.0002808988764044944,48.0575513,-122.176309
SAMMAMISH,354.0,0.09943820224719101,47.6088445,-122.0423067
FAIRWOOD,2.0,0.0005617977528089888,47.4468672,-122.1525349
PRESTON,6.0,0.0016853932584269663,47.5214201,-121.926409
BRYN MAWR-SKYWAY,18.0,0.0050561797752808986,47.494425,-122.24354615916847
LAKELAND SOUTH,1.0,0.0002808988764044944,47.280732,-122.28521839812741
BARING,1.0,0.0002808988764044944,45.1361861,-67.3166591
COTTAGE LAKE,3.0,0.0008426966292134832,47.743706,-122.08222852104015
RENTON,328.0,0.09213483146067415,47.4487145,-122.18518326798939
